6490901-6490936 Timing: Time: 8.750 μs (114.286 kHz)
6490936-6490970 Timing: Time: 8.500 μs (117.647 kHz)
6490970-6491005 Timing: Time: 8.750 μs (114.286 kHz)
6491005-6491040 Timing: Time: 8.750 μs (114.286 kHz)
6491040-6491074 Timing: Time: 8.500 μs (117.647 kHz)
6491074-6491109 Timing: Time: 8.750 μs (114.286 kHz)
6491109-6491144 Timing: Time: 8.750 μs (114.286 kHz)
6491144-6491179 Timing: Time: 8.750 μs (114.286 kHz)
6491179-6491213 Timing: Time: 8.500 μs (117.647 kHz)
6491213-6491248 Timing: Time: 8.750 μs (114.286 kHz)
6491248-6491283 Timing: Time: 8.750 μs (114.286 kHz)
